;;;;;;;;;;
Wk³adki do studni  1000;;;;Wk³adki do studni  1200;;;;;;
;;;;;;;;;;
;;;;;;;;;;
150;11 000,00 z³;1 400,00 z³;;;;;;;;
200;11 000,00 z³;1 400,00 z³;;;;;;;;
250;11 000,00 z³;1 400,00 z³;;;;;;;;
300;12 000,00 z³;1 500,00 z³;;;;;;;;
400;13 000,00 z³;1 500,00 z³;;;;;;;;
500;13 000,00 z³;1 500,00 z³;;;;;;;;
600;14 500,00 z³;1 500,00 z³;;;;;;;;
800;14 500,00 z³;2 000,00 z³;;;;;;;;
1000;18 000,00 z³;2 000,00 z³;;;;;;;;
1200;19 000,00 z³;2 000,00 z³;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
W przypadku wyst¹pienia  spadku w kinecie , spadku w mufie,  wloty w linii górnej obowi¹zuja poni¿sze ceny (jako dop³aty);;;;;;;;;;
Dop³ata za spadek w mufie;;;;;;;;;;
do    6 %;w cenie;;;;;;;;;
7-  12 %;300,00 z³;31 - 40%;;300,00 z³;;;;;;
13 - 30 %;3 000,00 z³;41 - 50%;;3 000,00 z³;;;;;;
;;;;;;;;;;
Dop³ata za spadek w kinecie;;;;;;;;;;
;DN 150 - DN 1200;;;;;;;;;
2 - 10 %;1 500,00 z³; 21 - 25%;;1 500,00 z³;;;;;;
11 - 15 %;1 500,00 z³;26 - 40%;;1 500,00 z³;;;;;;
16 - 20 %;1 500,00 z³;41 - 60%;;2 000,00 z³;;;;;;
;;;;;;;;;;
Wyloty nie w linii górnej (uniesienie kinety);;;;;;;;;;
;DN 150 - DN 1200;;;;;;;;;
do 100 mm;500,00 z³;do 400 mm;;800,00 z³;;;;;;
do 200 mm;500,00 z³;do 500 mm;;800,00 z³;;;;;;
do 300 mm;500,00 z³;do 600 mm;;800,00 z³;;;;;;
;;;;;;;;;;
Redukcja kinety;;;;;;;;;;
;do DN 300;DN 350 do 600;DN 700 do 1200;;;;;;;
;1 800,00 z³;2 000,00 z³;;3 500,00 z³;;;;;;
;;;;;;;;;;
Wbudowanie skrzynki w³azowej do kinety;;;500,00 z³;;;;;;;
;;;;;;;;;;
Dodatek za kinetê przebiegaj¹c¹ nie przez œrodek wk³adki;;;2 000,00 z³;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Wk³adki do studni DN 2500;;;;;;;;;;
;;;;;;;;;;
Kineta;Prosta;dod.wlot w linii górnej;;;;;;;;
;;;;;;;;;;
150;16 500,00 z³;2 100,00 z³;;;;;;;;
200;16 500,00 z³;2 100,00 z³;;;;;;;;
250;16 500,00 z³;2 100,00 z³;;;;;;;;
300;18 000,00 z³;2 250,00 z³;;;;;;;;
400;19 500,00 z³;2 250,00 z³;;;;;;;;
500;19 500,00 z³;2 250,00 z³;;;;;;;;
600;21 750,00 z³;2 250,00 z³;;;;;;;;
800;21 750,00 z³;3 000,00 z³;;;;;;;;
1000;27 000,00 z³;3 000,00 z³;;;;;;;;
1200;28 500,00 z³;3 000,00 z³;;;;;;;;
1400;31 350,00 z³;3 300,00 z³;;;;;;;;
1500;34 500,00 z³;3 650,00 z³;;;;;;;;
1600;37 950,00 z³;4 050,00 z³;;;;;;;;
1800;41 750,00 z³;4 500,00 z³;;;;;;;;
2000;45 950,00 z³;4 950,00 z³;;;;;;;;
2200;50 550,00 z³;5 450,00 z³;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
W przypadku wyst¹pienia  spadku w kinecie , spadku w mufie,  wloty w linii górnej obowi¹zuja poni¿sze ceny (jako dop³aty);;;;;;;;;;
Dop³ata za spadek w mufie;;;;;;;;;;
do    6 %;w cenie;;;;;;;;;
7-  12 %;450,00 z³;31 - 40%;;450,00 z³;;;;;;
13 - 30 %;4 500,00 z³;41 - 50%;;4 500,00 z³;;;;;;
;;;;;;;;;;
Dop³ata za spadek w kinecie;;;;;;;;;;
;DN 150 - DN 2200;;;;;;;;;
2 - 10 %;2 250,00 z³; 21 - 25%;;2 250,00 z³;;;;;;
11 - 15 %;2 250,00 z³;26 - 40%;;2 250,00 z³;;;;;;
16 - 20 %;2 250,00 z³;41 - 60%;;3 000,00 z³;;;;;;
;;;;;;;;;;
Wyloty nie w linii górnej (uniesienie kinety);;;;;;;;;;
;DN 150 - DN 2200;;;;;;;;;
do 100 mm;750,00 z³;do 400 mm;;1 200,00 z³;;;;;;
do 200 mm;750,00 z³;do 500 mm;;1 200,00 z³;;;;;;
do 300 mm;750,00 z³;do 600 mm;;1 200,00 z³;;;;;;
;;;;;;;;;;
Redukcja kinety;;;;;;;;;;
;do DN 300;DN 350 do 600;DN 700 do 2200;;;;;;;
;2 700,00 z³;3 000,00 z³;;5 250,00 z³;;;;;;
;;;;;;;;;;
Wbudowanie skrzynki w³azowej do kinety;;;750,00 z³;;;;;;;
;;;;;;;;;;
Dodatek za kinetê przebiegaj¹c¹ nie przez œrodek wk³adki;;;3 000,00 z³;;;;;;;
